Ecole,Age,Habitat,Parcelle,Nb arbres,Temps,Ganivelles,Emplacement,Enfantsparm2,Surface, Argile,Limon,Sable, MO,N_Tot, Cu, Ni, Pb, Zn,Plagiolepis_pygmaea,Messor_groupe_ibericus,Lasius_groupe_niger,Monomorium_monorium,Crematogaster_scutellaris,Proformica_nasuta,Pheidole_pallidula,Tetramorium_sp,Tapinoma_madeirense,Colobopsis_truncata,Camponotus_piceus,Campanotus_lateralis,Messor_barbarus,Lasius_lasioides,Temnothorax_unifasciatus,Tapinoma_glabrella,Linepithema_humile,Camponotus_fallax,Camponotus_aethiops,Temnothorax_continentalis,Formica_cunicularia,Solenopsis_sp,Tapinoma_erraticum,Tapinoma_groupe_nigerrimum,Hypoponera_eduardi,Formica_rufibarbis,Temnothorax_lichtensteini,Temnothorax_recedens,Themnothorax_sp,Species,Nb_AppatsAnt,Nb_Appats,Activity
Kurosawa,2022,CpPl,CpPl_12Kur,0,2,0,0,11.7,23.85,373,257.0,371.0,81.4,3.6,28.4,17.7,97.2,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0
Kurosawa,2022,CpPl,CpPl_13Kur,0,2,0,0,11.7,28.9,401,279.0,319.0,73.4,4.1,39.0,18.5,30.6,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0
Kurosawa,2022,CpPl,CpPl_14Kur,1,2,0,0,11.7,70.7,400,282.0,319.0,67.6,3.7,38.6,17.9,28.6,76.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,5,40.0
Galilee,2022,CpPl,CpPl_15Gal,3,2,0,0,14.5,40.6,382,235.2,383.0,79.8,4.0,31.7,17.0,30.2,77.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,33.33333333333333
Galilee,2022,CpPl,CpPl_16Gal,3,2,0,1,14.5,52.7,379,246.0,376.0,52.2,3.0,34.5,17.0,27.3,71.6,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,5,80.0
Lou Planas,2022,CpPl,CpPl_17Lou,2,2,1,0,11.7,59.4,351,291.0,358.0,36.7,2.0,40.3,18.5,24.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,6,33.33333333333333
Lou Planas,2022,CpPl,CpPl_18Lou,1,2,1,0,11.7,27.8,331,264.0,405.0,37.1,1.6,42.5,17.0,26.9,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0
Lou Planas,2022,CpPl,CpPl_19Lou,1,2,1,0,11.7,29.5,327,283.0,390.0,53.7,1.7,47.9,18.3,25.4,57.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,50.0
Lou Planas,2022,CpPl,CpPl_20Lou,0,2,1,0,11.7,9.1,341,294.0,365.0,38.4,1.6,50.0,20.4,31.5,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0
Lou Planas,2022,CpPl,CpPl_21Lou,3,2,1,1,11.7,89.2,306,252.0,441.0,33.5,1.5,53.2,22.2,31.1,64.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,5,40.0
Lou Planas,2022,CpPl,CpPl_22Lou,2,2,0,0,11.7,37.6,343,282.0,375.0,30.3,1.4,41.2,18.8,23.8,57.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,33.33333333333333
Lou Planas,2022,CpPl,CpPl_23Lou,2,2,0,0,11.7,34.9,340,303.0,357.0,34.6,1.3,43.0,21.2,24.2,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0
Robinson,2022,CpPl,CpPl_24Rob,2,2,1,1,16.0,53.0,341,303.0,357.0,33.0,1.4,33.2,17.4,22.3,50.3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,4,100.0
