"Ecole","Age","Habitat","Parcelle","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface"," Argile","Limon","Sable"," MO","N_Tot"," Cu"," Ni"," Pb"," Zn","Plagiolepis_pygmaea","Messor_groupe_ibericus","Lasius_groupe_niger","Monomorium_monorium","Crematogaster_scutellaris","Proformica_nasuta","Pheidole_pallidula","Tetramorium_sp","Tapinoma_madeirense","Colobopsis_truncata","Camponotus_piceus","Campanotus_lateralis","Messor_barbarus","Lasius_lasioides","Temnothorax_unifasciatus","Tapinoma_glabrella","Linepithema_humile","Camponotus_fallax","Camponotus_aethiops","Temnothorax_continentalis","Formica_cunicularia","Solenopsis_sp","Tapinoma_erraticum","Tapinoma_groupe_nigerrimum","Hypoponera_eduardi","Formica_rufibarbis","Temnothorax_lichtensteini","Temnothorax_recedens","Themnothorax_sp","Species","Nb_AppatsAnt","Nb_Appats","Activity"
"Lou Planas","2022","CpPl","CpPl_23Lou","2","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","0","0","11.7","34.9","340","303","357","34.6","1.3","43.0","21.2","24.2","57.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Robinson","2022","CpPl","CpPl_24Rob","2","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","1","1","16","53","341","303","357","33","1.4","33.2","17.4","22.3","50.3","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","100"
"Robinson","2022","CpPl","CpPl_25Rob","2","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","1","0","16","22.9","341","293","367","36.6","1.5","37.9","17.5","34.9","53.3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","100"
"Robinson","2022","CpPl","CpPl_26Rob","2","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","1","1","16","48.6","349","307","344","40.2","1.6","38.7","18.6","22.3","62.5","1","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","5","100"
"Robinson","2022","CpPl","CpPl_27Rob","1","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","1","0","16","9.8","347","349","303","21.7","1.1","31.2","18.3","21.1","53.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Robinson","2022","CpPl","CpPl_28Rob","1","0.234","0.058","0.021","0.062","0.625","0.001","4","3","7","5","3","2","1.0554863776454","2","1","0","16","19.7","317","302","381","29.7","1.3","41.5","17.6","23.3","54.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Sun Yan Sen","2022","CpPl","CpPl_29Sun","3","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","1","23.5","109.9","262","261","476","14.3","0.65","58.6","17.9","36.9","55.8","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","12","41.666666666667"
"Sun Yan Sen","2022","CpPl","CpPl_30Sun","1","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","0","23.5","27.9","300","257","443","90.6","3.4","60.6","15.3","46.2","71","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","50"
"Sun Yan Sen","2022","CpPl","CpPl_31Sun","1","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","0","23.5","23.5","403","307","290","41.9","1.7","128","25.5","67.3","75.3","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","100"
"Sun Yan Sen","2022","CpPl","CpPl_32Sun","1","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","0","23.5","14.5","386","319","294","46.2","1.5","130","26.5","67.2","73.9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","100"
"Sun Yan Sen","2022","CpPl","CpPl_33Sun","1","0.045","0.052","0.041","0.087","0.742","0.033","3","1","1","3","4","3","0.97082201087516","2","0","0","23.5","16.2","390","300","310","27.7","1.3","155","28.3","76","77.7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","50"
"Jean Zay","2022","CpPl","CpPl_34Jea","0","0.1","0.017","0.027","0.095","0.725","0.036","1","2","4","6","6","3","0.97304337961338","2","0","1","6.1","15.75","249","203.2","547","43","2.1","61.3","16.3","26.8","58.2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","1","1","100"
"Jean Zay","2022","CpPl","CpPl_35Jea","1","0.1","0.017","0.027","0.095","0.725","0.036","1","2","4","6","6","3","0.97304337961338","2","0","0","6.1","20.3","330","276","393","57.1","2.5","42.5","19.2","23.8","67.1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","100"
"Jean Zay","2022","CpPl","CpPl_36Jea","1","0.1","0.017","0.027","0.095","0.725","0.036","1","2","4","6","6","3","0.97304337961338","2","0","0","6.1","15.3","289","253","458","54","2.6","42","20.6","26.4","66.2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","100"
"Sibelius","2023","CpUt","CpPl_37Sib","2","0.007","0","0.008","0.352","0.562","0.071","1","0","2","9","7","5","0.95311441318936","1","0","1","7.4","66.9","212","207.3","581","31","1.6","43.1","13.4","63.4","71.5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","33.333333333333"
"Heidelberg","2023","CpUt","CpPl_38Hei","1","0.144","0","0.062","0.34","0.423","0.03","3","0","3","6","4","2","1.2890746173766","1","0","1","7.5","53.27","238","216","546","37.4","1.8","40.1","14.9","61.5","91.8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","40"
